code,character,translation,issue_type,category,char_name,trans_name,accept
U+00974D,靍,弘,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-974D,CJK UNIFIED IDEOGRAPH-5F18,
U+00974F,靏,汞,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-974F,CJK UNIFIED IDEOGRAPH-6C5E,
U+009751,靑,泓,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9751,CJK UNIFIED IDEOGRAPH-6CD3,
U+009755,靕,洪,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9755,CJK UNIFIED IDEOGRAPH-6D2A,
U+009857,顗,烘,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9857,CJK UNIFIED IDEOGRAPH-70D8,
U+009865,顥,紅,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9865,CJK UNIFIED IDEOGRAPH-7D05,
U+009927,餧,鴻,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9927,CJK UNIFIED IDEOGRAPH-9D3B,
U+00999E,馞,和,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-999E,CJK UNIFIED IDEOGRAPH-548C,
U+009A4E,驎,嬅,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9A4E,CJK UNIFIED IDEOGRAPH-5B05,
U+009AD9,髙,樺,different,한자 → 기타,CJK UNIFIED IDEOGRAPH-9AD9,CJK UNIFIED IDEOGRAPH-6A3A,
U+009F60,齠,1,different,한자 숫자 → 아라비아 숫자,CJK UNIFIED IDEOGRAPH-9F60,DIGIT ONE,
U+00F929,朗,睍,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-F929,CJK UNIFIED IDEOGRAPH-774D,
U+00F9DC,隆,渾,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-F9DC,CJK UNIFIED IDEOGRAPH-6E3E,
U+00FA13,﨓,鉉,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA13,CJK UNIFIED IDEOGRAPH-9249,
U+00FA14,﨔,孑,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA14,CJK UNIFIED IDEOGRAPH-5B51,
U+00FA29,﨩,琿,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA29,CJK UNIFIED IDEOGRAPH-743F,
U+00FA2A,飯,虹,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA2A,CJK UNIFIED IDEOGRAPH-8679,
U+00FA2B,飼,訌,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA2B,CJK UNIFIED IDEOGRAPH-8A0C,
U+00FA2C,館,化,different,알파벳 → 알파벳,CJK COMPATIBILITY IDEOGRAPH-FA2C,CJK UNIFIED IDEOGRAPH-5316,
U+00FF62,｢,「,different,특수문자 → 특수문자,HALFWIDTH LEFT CORNER BRACKET,LEFT CORNER BRACKET,TRUE
U+00FF63,｣,」,different,특수문자 → 특수문자,HALFWIDTH RIGHT CORNER BRACKET,RIGHT CORNER BRACKET,TRUE
U+00FF65,･,·,different,특수문자 → 특수문자,HALFWIDTH KATAKANA MIDDLE DOT,MIDDLE DOT,TRUE
U+00FF66,ｦ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER WO,N/A,TRUE
U+00FF67,ｧ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL A,N/A,TRUE
U+00FF68,ｨ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL I,N/A,TRUE
U+00FF69,ｩ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL U,N/A,TRUE
U+00FF6A,ｪ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL E,N/A,TRUE
U+00FF6B,ｫ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL O,N/A,TRUE
U+00FF6C,ｬ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL YA,N/A,TRUE
U+00FF6D,ｭ,,different,삭제됨 (빈 문자열),HALFWIDTH KATAKANA LETTER SMALL YU,N/A,TRUE
